月份,内一科,内二科,外一科,外二科,妇产科,儿科,耳鼻喉科,皮肤科,中医科,口腔科
一月,1239,803,672,1079,945,523,320,3292,404,978
二月,1034,789,693,845,864,451,240,181,270,910
三月,1152,975,819,894,944,655,291,182,429,1097
四月,803,842,708,684,759,681,395,129,242,935
五月,970,693,682,650,754,508,161,331,208,1105
六月,912,872,746,681,798,411,159,414,227,937
七月,921,866,771,618,872,439,200,428,338,1014
八月,902,829,735,663,801,485,179,439,252,992
九月,735,957,768,789,871,439,162,418,226,1130
十月,936,808,692,864,803,599,234,132,198,994
十一月,1099,1058,784,964,1031,535,315,203,315,1050
十二月,1005,565,728,986,962,486,275,208,329,1109
总计,11708,10057,8798,9717,10404,6212,2931,6357,3438,12251
